Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
PTP4A1		6	6	2551	0.2%	Yes
RAC2		12	12	2551	0.5%	Yes
NFKBIA		29	28	3384	0.8%	Yes
SYK		53	45	3548	1.3%	Yes
SMO		111	100	3548	2.8%	Yes
FGF4		31	29	3548	0.8%	Yes
IFNGR1		33	27	3548	0.8%	Yes
FGF3		54	52	3548	1.5%	Yes
DNAJB1		28	28	3384	0.8%	Yes
CD79A		41	40	3384	1.2%	Yes
CRKL		15	15	3548	0.4%	Yes
PNRC1		19	18	3548	0.5%	Yes
CD79B		23	22	3548	0.6%	Yes
IL7R		65	55	3548	1.6%	Yes
SMARCD1		37	34	3548	1.0%	Yes
CSDE1		46	44	2551	1.7%	Yes
RAC1		13	13	3548	0.4%	Yes
PPP2R1A		73	70	3548	2.0%	Yes
RAD51B		11	10	3548	0.3%	Yes
MSI1		35	33	2551	1.3%	Yes
RAD51D		17	17	3548	0.5%	Yes
NBN		69	67	3548	1.9%	Yes
RAD52		29	29	3548	0.8%	Yes
RAF1		66	63	3548	1.8%	Yes
FGFR4		78	69	3548	1.9%	Yes
FGFR2		71	62	3548	1.7%	Yes
FGFR3		92	82	3548	2.3%	Yes
CEBPA		17	17	3384	0.5%	Yes
FGFR1		80	72	3548	2.0%	Yes
RUNX1		52	52	3548	1.5%	Yes
HLA-B		123	100	2551	3.9%	Yes
HLA-A		87	77	3384	2.3%	Yes
CBFB		24	24	3548	0.7%	Yes
IL10		15	14	3548	0.4%	Yes
RAD21		41	40	3384	1.2%	Yes
CBL		52	49	3548	1.4%	Yes
MAPKAP1		34	31	2551	1.2%	Yes
MSH2		128	97	3548	2.7%	Yes
RAD51		17	17	3548	0.5%	Yes
MSH3		185	161	2551	6.3%	Yes
RAD51C		27	26	3548	0.7%	Yes
BCL10		22	21	3384	0.6%	Yes
PTPN11		47	43	3548	1.2%	Yes
EPAS1		50	46	2551	1.8%	Yes
EP300		206	173	3548	4.9%	Yes
FH		32	30	3548	0.8%	Yes
IGF2		41	39	3548	1.1%	Yes
IGF1R		121	107	3548	3.0%	Yes
MEF2B		64	61	3548	1.7%	Yes
SH2B3		93	86	3384	2.5%	Yes
BCL2L11		14	14	3548	0.4%	Yes
PHOX2B		46	44	3548	1.2%	Yes
IGF1		23	23	3548	0.6%	Yes
CENPA		6	6	3384	0.2%	Yes
EZH2		48	42	3548	1.2%	Yes
EZH1		36	33	2551	1.3%	Yes
CDC42		9	9	2551	0.4%	Yes
CDH1		82	70	3548	2.0%	Yes
PRDM1		54	51	3548	1.4%	Yes
PPP6C		21	18	3384	0.5%	Yes
CARM1		30	27	2551	1.1%	Yes
MEN1		51	50	3548	1.4%	Yes
INPP4B		68	62	3548	1.7%	Yes
SOX17		142	131	3548	3.7%	Yes
NSD1		156	124	3548	3.5%	Yes
CXCR4		16	16	3384	0.5%	Yes
EPHA7		145	122	3384	3.6%	Yes
COP1		49	46	3548	1.3%	Yes
EPHA5		221	185	3548	5.2%	Yes
EPHA3		186	166	3548	4.7%	Yes
BCOR		175	147	3548	4.1%	Yes
BLM		108	92	3548	2.6%	Yes
H1-2		43	40	3548	1.1%	Yes
ARID5B		93	76	3548	2.1%	Yes
SF3B1		84	69	3548	1.9%	Yes
MAP3K1		124	115	3548	3.2%	Yes
POLD1		174	138	3384	4.1%	Yes
POLE		234	187	3548	5.3%	Yes
PTPRD		165	136	3548	3.8%	Yes
TAP1		63	45	2551	1.8%	Yes
ICOSLG		34	31	3548	0.9%	Yes
RYBP		15	15	3548	0.4%	Yes
TAP2		69	47	2551	1.8%	Yes
MPL		44	39	3548	1.1%	Yes
MUTYH		49	47	3548	1.3%	Yes
MET		75	65	3548	1.8%	Yes
SOS1		63	58	2551	2.3%	Yes
STAT3		52	51	3384	1.5%	Yes
FANCC		36	34	3548	1.0%	Yes
HRAS		24	22	3548	0.6%	Yes
FANCA		118	103	3548	2.9%	Yes
H3-3B		5	5	3384	0.1%	Yes
H3-3A		16	16	3384	0.5%	Yes
CCND2		16	16	3548	0.5%	Yes
H2BC5		23	23	3548	0.6%	Yes
CCND3		10	10	3548	0.3%	Yes
EPHB1		149	142	3548	4.0%	Yes
CCNE1		23	23	3548	0.6%	Yes
RNF43		415	306	3548	8.6%	Yes
BMPR1A		65	58	3548	1.6%	Yes
RAD50		98	88	3548	2.5%	Yes
CHEK2		48	45	3548	1.3%	Yes
BABAM1		19	19	2551	0.7%	Yes
MRE11		72	66	3548	1.9%	Yes
PRKAR1A		34	32	3548	0.9%	Yes
MST1		35	33	3384	1.0%	Yes
SOX9		439	396	3548	11.2%	Yes
MST1R		109	95	3384	2.8%	Yes
HOXB13		21	21	3384	0.6%	Yes
ERBB4		199	171	3548	4.8%	Yes
ERBB3		179	160	3548	4.5%	Yes
ERBB2		185	166	3548	4.7%	Yes
CRLF2		17	17	3548	0.5%	Yes
ATR		164	124	3548	3.5%	Yes
ATRX		182	152	3548	4.3%	Yes
FOXL2		37	36	3548	1.0%	Yes
STAT5B		73	67	3384	2.0%	Yes
AKT3		50	43	3548	1.2%	Yes
STAT5A		46	42	3384	1.2%	Yes
MAP2K4		94	88	3548	2.5%	Yes
SOX2		45	44	3548	1.2%	Yes
ASXL1		166	152	3548	4.3%	Yes
DICER1		110	90	3548	2.5%	Yes
AURKA		35	33	3548	0.9%	Yes
PRKCI		39	39	2551	1.5%	Yes
STK11		39	39	3548	1.1%	Yes
PRKD1		81	69	2551	2.7%	Yes
ERG		56	53	3548	1.5%	Yes
ERF		67	60	2551	2.4%	Yes
FAT1		367	235	3548	6.6%	Yes
TET2		137	117	3548	3.3%	Yes
ERCC5		96	87	3548	2.5%	Yes
ERCC4		49	45	3548	1.3%	Yes
ERCC3		61	58	3548	1.6%	Yes
EGFL7		17	17	3548	0.5%	Yes
BRCA1		126	100	3548	2.8%	Yes
BRAF		374	358	3548	10.1%	Yes
BRCA2		274	203	3548	5.7%	Yes
ERCC2		61	54	3548	1.5%	Yes
ID3		7	7	3384	0.2%	Yes
AXL		137	121	3548	3.4%	Yes
LMO1		17	16	3548	0.5%	Yes
XPO1		55	45	3548	1.3%	Yes
PLCG2		147	134	3384	4.0%	Yes
EED		20	17	3548	0.5%	Yes
H3C7		9	9	3384	0.3%	Yes
SRSF2		14	14	3384	0.4%	Yes
XRCC2		35	34	3384	1.0%	Yes
KEAP1		60	57	3548	1.6%	Yes
MAPK1		16	16	3548	0.5%	Yes
RRAGC		22	21	2551	0.8%	Yes
MAPK3		34	31	3384	0.9%	Yes
RPS6KA4		111	99	3548	2.8%	Yes
APC		4172	2684	3548	75.6%	Yes
B2M		229	142	3548	4.0%	Yes
FOXA1		23	23	3548	0.6%	Yes
TMEM127		12	10	3548	0.3%	Yes
ARID2		174	150	3548	4.2%	Yes
YES1		35	30	3548	0.8%	Yes
AKT1		66	64	3548	1.8%	Yes
PPARG		19	18	2551	0.7%	Yes
KDM6A		101	90	3548	2.5%	Yes
AKT2		28	27	3548	0.8%	Yes
ERRFI1		34	29	3384	0.9%	Yes
PALB2		78	72	3548	2.0%	Yes
STK19		18	18	2551	0.7%	Yes
SETD2		196	154	3548	4.3%	Yes
PGR		103	91	3384	2.7%	Yes
VEGFA		16	16	3384	0.5%	Yes
FGF19		20	19	3548	0.5%	Yes
PMAIP1		3	3	3548	<0.1%	Yes
ESR1		107	100	3548	2.8%	Yes
DIS3		67	62	3548	1.7%	Yes
H3C13		3	3	3384	<0.1%	Yes
BIRC3		37	35	3384	1.0%	Yes
XIAP		29	28	3548	0.8%	Yes
BTK		45	43	3548	1.2%	Yes
PPP4R2		13	13	2551	0.5%	Yes
TP63		64	58	3548	1.6%	Yes
MAX		16	16	3548	0.5%	Yes
PIK3R3		32	26	3548	0.7%	Yes
KNSTRN		10	10	2551	0.4%	Yes
FUBP1		41	39	3548	1.1%	Yes
WWTR1		19	18	2551	0.7%	Yes
MITF		73	70	3548	2.0%	Yes
PDCD1		73	71	3548	2.0%	Yes
PMS1		53	48	3548	1.4%	Yes
TNFRSF14		25	24	3548	0.7%	Yes
NCOR1		197	155	3548	4.4%	Yes
BARD1		65	62	3548	1.7%	Yes
SUZ12		36	36	3548	1.0%	Yes
ZFHX3		402	283	3384	8.4%	Yes
MED12		172	144	3548	4.1%	Yes
U2AF1		40	39	3548	1.1%	Yes
VHL		8	8	3548	0.2%	Yes
IKZF1		120	115	3548	3.2%	Yes
HGF		87	78	3548	2.2%	Yes
SOCS1		18	18	3548	0.5%	Yes
KMT2A		235	180	3548	5.1%	Yes
SMARCA4		225	178	3548	5.0%	Yes
SMARCB1		58	54	3548	1.5%	Yes
MCL1		20	20	3548	0.6%	Yes
ATM		375	282	3548	7.9%	Yes
MLH1		97	83	3548	2.3%	Yes
CCND1		16	16	3548	0.5%	Yes
BCL2		16	16	3548	0.5%	Yes
BCL2L1		15	15	3548	0.4%	Yes
DOT1L		145	124	3548	3.5%	Yes
ALK		181	155	3548	4.4%	Yes
SPOP		28	23	3548	0.6%	Yes
PMS2		53	50	3548	1.4%	Yes
IRS2		142	119	3548	3.4%	Yes
LYN		21	20	2551	0.8%	Yes
PDGFRA		99	90	3548	2.5%	Yes
SH2D1A		12	12	3548	0.3%	Yes
ALOX12B		64	59	3548	1.7%	Yes
AR		162	143	3548	4.0%	Yes
CARD11		236	198	3548	5.6%	Yes
ARAF		73	66	3548	1.9%	Yes
RRAS		12	12	2551	0.5%	Yes
MDM4		18	18	3548	0.5%	Yes
IKBKE		52	50	3548	1.4%	Yes
ABL1		114	100	3548	2.8%	Yes
RXRA		39	37	2551	1.5%	Yes
BAP1		59	55	3548	1.6%	Yes
PIK3C2G		150	130	3548	3.7%	Yes
PIK3C3		60	56	3548	1.6%	Yes
RIT1		27	26	3548	0.7%	Yes
NSD2		75	65	2551	2.5%	Yes
AXIN1		112	95	3548	2.7%	Yes
RECQL4		127	111	3548	3.1%	Yes
AXIN2		195	166	3548	4.7%	Yes
RICTOR		101	85	3548	2.4%	Yes
MGA		204	175	3384	5.2%	Yes
EPCAM		15	14	3548	0.4%	Yes
MDM2		20	18	3548	0.5%	Yes
PDGFRB		73	69	3548	1.9%	Yes
RHEB		12	12	3384	0.4%	Yes
KMT2B		377	243	2551	9.5%	Yes
SLX4		119	102	2551	4.0%	Yes
PIK3CG		187	159	3548	4.5%	Yes
RTEL1-TNFRSF6B		6	5	3548	0.1%	No
PIK3R1		198	168	3548	4.7%	Yes
PIK3R2		79	73	3548	2.1%	Yes
SMAD2		163	145	3548	4.1%	Yes
SMAD3		169	148	3548	4.2%	Yes
MDC1		102	90	3548	2.5%	Yes
SMAD4		555	502	3548	14.1%	Yes
TMPRSS2		31	29	3548	0.8%	Yes
PAK1		38	34	3548	1.0%	Yes
NCOA3		100	92	3384	2.7%	Yes
SDHA		43	40	3548	1.1%	Yes
PIK3CA		815	712	3548	20.1%	Yes
PDPK1		12	12	3548	0.3%	Yes
PIK3CB		87	69	3548	1.9%	Yes
PIM1		13	13	3548	0.4%	Yes
PARP1		61	54	3548	1.5%	Yes
PIK3CD		90	86	3548	2.4%	Yes
RHOA		33	31	3548	0.9%	Yes
CIC		211	168	3548	4.7%	Yes
RAD54L		61	58	3548	1.6%	Yes
SDHAF2		12	12	3548	0.3%	Yes
AMER1		292	269	3548	7.6%	Yes
CUL3		32	27	3548	0.8%	Yes
TSC1		94	81	3548	2.3%	Yes
RAB35		15	15	3384	0.4%	Yes
SMYD3		22	22	2551	0.9%	Yes
SDHC		7	7	3548	0.2%	Yes
SDHB		16	16	3548	0.5%	Yes
SDHD		7	7	3548	0.2%	Yes
SUFU		44	41	3548	1.2%	Yes
GRIN2A		223	200	3548	5.6%	Yes
TSHR		73	71	3548	2.0%	Yes
TEK		73	65	2551	2.5%	Yes
TERT		156	143	3548	4.0%	Yes
PAX5		71	68	3548	1.9%	Yes
KLF4		31	29	3548	0.8%	Yes
SPEN		220	168	3548	4.7%	Yes
TIMM8B		1	1	3548	<0.1%	No
LATS2		116	111	3548	3.1%	Yes
PRKN		80	75	3548	2.1%	Yes
WT1		64	59	3548	1.7%	Yes
TNFAIP3		74	67	3548	1.9%	Yes
TSC2		163	140	3548	3.9%	Yes
TRAF7		66	62	3548	1.7%	Yes
ZRSR2		34	34	3384	1.0%	Yes
H3C11		18	18	3384	0.5%	Yes
H3C8		11	11	3384	0.3%	Yes
H3C3		20	20	3384	0.6%	Yes
H3C6		23	23	3384	0.7%	Yes
H3C2		14	14	3548	0.4%	Yes
H3C12		18	18	3384	0.5%	Yes
H3C10		12	12	3384	0.4%	Yes
NUP93		62	57	3384	1.7%	Yes
H3C1		8	8	3384	0.2%	Yes
H3C4		12	12	3384	0.4%	Yes
PTPRT		325	281	3548	7.9%	Yes
TENT5C		25	23	3548	0.6%	Yes
EGFR		95	83	3548	2.3%	Yes
ABRAXAS1		30	27	3548	0.8%	Yes
AURKB		25	23	3548	0.6%	Yes
KDM5C		102	84	3548	2.4%	Yes
TP53BP1		121	91	2551	3.6%	Yes
TP53		2837	2630	3548	74.1%	Yes
BRD4		129	119	3548	3.4%	Yes
TOP1		45	42	3548	1.2%	Yes
RBM10		93	90	3548	2.5%	Yes
EIF1AX		13	13	3548	0.4%	Yes
GSK3B		32	32	3548	0.9%	Yes
DUSP4		13	12	2551	0.5%	Yes
RPS6KB2		53	50	3548	1.4%	Yes
TGFBR1		76	66	3548	1.9%	Yes
TGFBR2		179	168	3548	4.7%	Yes
PPM1D		85	75	3384	2.2%	Yes
SHQ1		39	34	3548	1.0%	Yes
CYSLTR2		14	14	2551	0.5%	Yes
EIF4A2		28	26	3384	0.8%	Yes
PREX2		176	140	2551	5.5%	Yes
ACVR1		33	31	3384	0.9%	Yes
SESN1		22	21	2551	0.8%	Yes
BRIP1		76	63	3548	1.8%	Yes
DAXX		56	53	3548	1.5%	Yes
EIF4E		13	13	3384	0.4%	Yes
LATS1		101	87	3548	2.5%	Yes
RRAS2		13	12	2551	0.5%	Yes
FBXW7		578	500	3548	14.1%	Yes
MSH6		169	139	3548	3.9%	Yes
ROS1		167	125	3548	3.5%	Yes
TRAF2		44	42	3384	1.2%	Yes
SHOC2		21	21	2551	0.8%	Yes
CCNQ		6	6	2551	0.2%	Yes
KIT		86	78	3548	2.2%	Yes
E2F3		36	33	3548	0.9%	Yes
PDCD1LG2		6	6	2551	0.2%	Yes
ELF3		83	78	2551	3.1%	Yes
CD276		30	30	3548	0.8%	Yes
ARID1A		503	373	3548	10.5%	Yes
PBRM1		148	126	3548	3.6%	Yes
ARID1B		207	179	3548	5.0%	Yes
GLI1		139	126	3384	3.7%	Yes
NTRK1		103	96	3548	2.7%	Yes
NTRK2		73	67	3548	1.9%	Yes
NTRK3		113	103	3548	2.9%	Yes
BBC3		23	21	3548	0.6%	Yes
NTHL1		17	17	2551	0.7%	Yes
NKX2-1		59	51	3548	1.4%	Yes
H3-4		18	18	3384	0.5%	Yes
PAK5		71	63	3548	1.8%	Yes
MAP3K14		1	1	3384	<0.1%	Yes
GATA3		81	75	3548	2.1%	Yes
GATA2		56	54	3548	1.5%	Yes
JAK1		126	95	3548	2.7%	Yes
GATA1		31	31	3548	0.9%	Yes
JAK2		58	53	3548	1.5%	Yes
JAK3		106	98	3548	2.8%	Yes
KMT5A		18	16	2551	0.6%	Yes
DDR2		69	59	3548	1.7%	Yes
DNMT3B		98	89	3548	2.5%	Yes
DNMT3A		90	81	3548	2.3%	Yes
SESN2		35	35	2551	1.4%	Yes
DNMT1		138	118	3548	3.3%	Yes
GPS2		36	34	3384	1.0%	Yes
CYLD		46	44	2551	1.7%	Yes
NUF2		28	27	2551	1.1%	Yes
KRAS		1596	1564	3548	44.1%	Yes
JUN		75	71	3548	2.0%	Yes
CSF1R		81	73	3548	2.1%	Yes
GNA11		33	31	3548	0.9%	Yes
SESN3		29	29	2551	1.1%	Yes
NKX3-1		25	25	3548	0.7%	Yes
RARA		54	49	3548	1.4%	Yes
MAP3K13		79	71	3548	2.0%	Yes
PRDM14		45	41	2551	1.6%	Yes
KMT2D		570	359	3548	10.1%	Yes
GNAS		106	99	3548	2.8%	Yes
KDM5A		142	121	3548	3.4%	Yes
INHBA		94	89	3384	2.6%	Yes
FYN		51	49	3384	1.4%	Yes
GNAQ		20	19	3548	0.5%	Yes
INHA		36	36	3384	1.1%	Yes
CSF3R		77	74	3384	2.2%	Yes
GREM1		12	11	3548	0.3%	Yes
RTEL1		46	43	2551	1.7%	Yes
CDK12		135	115	3548	3.2%	Yes
RASA1		114	98	3548	2.8%	Yes
PTPRS		395	316	3548	8.9%	Yes
NSD3		82	67	2551	2.6%	Yes
RB1		95	77	3548	2.2%	Yes
